id,district,street,name,beds,since,address,phone,zipcode,type,legal_person
1,宝山区,大场镇,上海信养养老服务有限公司大场分公司,247,2022-01-11,上海市场中路4098弄8号,021-56555322,,民建民营,魏松
2,宝山区,大场镇,上海大场长乐养老院,326,2015-07-22,上海市宝山区大场镇少年村路218号,66610336,200436,民建民营,刘洪法
3,宝山区,大场镇,上海宝山区大场欢喜家养老院,948,2024-08-20,上海市真大路599号,021-31028966,,公建民营,韩希云
4,宝山区,大场镇,上海宝山区大场镇敬老院,140,1998-12-23,上海市环镇北路600弄158号,021-56517301,200436,公建公营,范志强
5,宝山区,大场镇,上海宝山区大场镇祁连敬老院,96,1994-10-19,上海市锦秋路2088号,021-56131503,200436,公建公营,范志强
6,宝山区,大场镇,上海宝山区德照敬老院,171,2006-03-15,上海市红光村沪太路3651号,021-51609188,200444,民建民营,许小凤
7,宝山区,大场镇,上海宝山区秋晖养老院,144,2019-03-01,上海市祁连社区,56696128,200444,公建民营,潘马发
8,宝山区,大场镇,上海宝山区金悦养老院,288,2016-05-02,上海市宝山区大场镇祁真路485号,13601786946,200436,公建民营,秦雨胜
9,宝山区,大场镇,上海星堡老年服务有限公司,1382,2014-04-23,上海市环镇南路858弄5号楼、8-2号楼,31001500*80101,200436,民建民营,陈育骏
10,宝山区,大场镇,上海星辰家养老服务有限公司,330,2023-12-06,上海市祁康路516号,021-66951555,,民建民营,刘毅达
11,宝山区,高境镇,上海宝山区高境镇养老院,430,2012-08-08,上海市何家湾路99弄9号,55040277,200439,公建民营,秦雨胜
12,宝山区,顾村镇,上海宝山区保龙养老院,395,2017-10-13,上海市宝山区顾村镇宝安公路2365号,56752222,201801,民建民营,黄龙
13,宝山区,顾村镇,上海宝山区康泰养老院,213,2018-10-10,上海市宝山区顾村镇顾陈路430号,66780009,201906,民建民营,李茜
14,宝山区,顾村镇,上海宝山区顾村镇敬老院,203,2014-03-12,上海市沪太路5129弄10号,021-56020482,201907,公建公营,李珍
15,宝山区,顾村镇,上海宝山区顾村镇馨佳园养老院,131,2017-05-16,上海市潘广路1645号,36210632,201906,公建民营,刘燕芳
16,宝山区,顾村镇,上海宝山沣德养老院,313,2019-07-05,上海市湄星路1818号11幢,66680189,201900,民建民营,郑振亮
17,宝山区,顾村镇,上海顾村和平养老院,188,2016-03-09,上海市陆翔路688弄1-33号,66028550,201907,民建民营,丁洁雯
18,宝山区,顾村镇,欧葆庭（上海）养老服务有限公司,385,2020-08-11,上海市沪太路4858号,56021699,,民建民营,王婷婷
19,宝山区,罗店镇,上海宝山罗店孝乐汇美兰金湖养老院,137,2023-02-14,上海市罗南路39号,66860097,201908,公建民营,韩希云
20,宝山区,罗店镇,上海宝山罗福养老院,215,2005-08-23,上海市东西巷街,64693728,201908,民建民营,顾超
21,宝山区,罗店镇,上海宝山美兰金苑养老院,850,2009-12-23,上海市宝山区罗店镇沪太路6273弄50号,66010806,201908,公建公营,陈璐
22,宝山区,罗店镇,上海金罗敬老院,120,2003-09-18,上海市罗东路1176号东首,15901604656,201908,民建民营,严云龙
23,宝山区,罗店镇,上海青汐养老服务有限公司,174,2021-04-26,上海市宝山工业园区 上海市宝山区城银路505号101-104、3层、5层、6层、507号1-2层、509号1-2层、511号1-2层、513号1-2层,56670229,,民建民营,宋斐
24,宝山区,罗泾镇,上海宝山区罗泾镇敬老院,110,1984-02-20,上海市宝山区罗泾镇集宁路179号,56870784,200949,公建公营,杨海英
25,宝山区,罗泾镇,上海怡景养老院,281,2017-09-30,上海市宝山区罗泾镇潘沪路78号,66877829,200949,公建民营,潘程
26,宝山区,庙行镇,上海宝山区庙行镇敬老院,140,2012-12-10,上海市敬老院,56661706,200443,公建公营,冯禕磊
27,宝山区,庙行镇,上海宝山庙行孝乐汇悦馨养老院,417,2020-12-09,上海市南蕴藻路999号,17321215815,200443,公建民营,朱利
28,宝山区,庙行镇,上海颐和嘉宁养护院有限公司,269,2023-01-17,上海市南蕰藻路678号,4008780388,,民建民营,MEI XUEYAN
29,宝山区,淞南镇,上海宝山区淞南镇养老院,312,2018-09-10,上海市宝山区淞南镇长江路860弄58号,56121758,200439,公建民营,顾张燕
30,宝山区,淞南镇,上海美庭阳光养老院,284,2016-02-01,上海市宝山区淞南镇长江南路970号,36589188,200439,民建民营,周知
31,宝山区,吴淞街道,上海同泰敬老院,245,2016-12-06,上海市同泰北路183号,56175183,200940,民建民营,苗成
32,宝山区,吴淞街道,上海宝山区新宏养老院,128,2022-07-01,上海市淞宝路96号7幢、5幢三层,56167148,,民建民营,陈丽娟
33,宝山区,吴淞街道,上海宝山区海滨新村街道敬老院,160,2004-08-19,上海市宝山区吴淞街道永清二村122号,56566635,200940,公建民营,张红阳
34,宝山区,吴淞街道,上海宝山区逸仙养老院,421,2017-04-10,上海市宝山区塘后支路19-21号,021-56562778,200940,民建民营,冯强
35,宝山区,杨行镇,上海宝山勤丰家乐养老院,142,2009-12-03,上海市宝山区杨行镇盘古路715弄9号,66785088 66781068,201900,民建民营,刘挺浩
36,宝山区,杨行镇,上海宝山区百姓敬老院,396,2007-09-21,上海市杨宗路308号,33852677,201901,民建民营,金清浩
37,宝山区,杨行镇,上海宝山区益康敬老院,220,2007-04-27,上海市泰和路1155号,33795030,201901,民建民营,秦琦
38,宝山区,杨行镇,上海宝山杨行镇金秋晨曦老年公寓,1350,2001-04-18,上海市宝山区杨行镇盘古路1911号,56780662,201901,公建公营,钱佳
39,宝山区,杨行镇,上海市第三社会福利院,600,1979-04-11,上海市漠河路655号,36212361,201999,公建公营,计琼
40,宝山区,友谊路街道,上海宝山友谊幸福里养老院,215,2021-10-15,上海市宝林八村128号,61676320，13122818633,,公建民营,潘马发
41,宝山区,友谊路街道,上海宝康老年公寓,270,2003-03-21,上海市宝山区友谊路街道宝山十村106号,56120350*7103,201900,公建民营,陆明
42,宝山区,月浦镇,上海宝山区月浦乐业养老院,65,2004-01-14,上海市春雷路332弄2号,56932568,200941,民建民营,王凤莉
43,宝山区,月浦镇,上海宝山区月浦恬逸养老院,466,2020-03-16,上海市月富路318号,021-66933026,200941,公建民营,邢瑞鑫
44,宝山区,月浦镇,上海宝山区月浦镇怡康敬老院,58,2006-01-18,上海市宝山区月浦镇盛桥一村28号,56159598,200942,民建民营,王凤莉
45,宝山区,月浦镇,上海宝山区金色晚年敬老院,503,2006-07-24,上海市宝山区月浦镇段泾村陆家宅50号,021-56935189,200941,民建民营,潘马发
46,宝山区,张庙街道,上海宝山区新康安养院,190,2005-10-10,上海市呼玛四村27号,66229687,200431,民建民营,管华凤
47,宝山区,张庙街道,上海宝山区通河新村街道敬老院,72,1999-11-19,上海市宝山区张庙街道通河二村40号,56749563,200431,公建民营,卞桂芳
48,宝山区,张庙街道,上海张庙养老院,154,2016-10-10,上海市宝山区张庙街道长江西路1181号,56121365,200431,公建民营,沈超
49,崇明区,,上海崇明横沙敬老院,208,2018-10-19,上海市崇明区横沙乡富民沙路108弄25号,56890845,201914,公建民营,李菊花
50,崇明区,堡镇,上海崇明区城桥第三敬老院,186,2001-06-06,上海市崇明区城桥镇长侯路25号,59691322,202155,公建公营,周忠惠
51,崇明区,堡镇,上海崇明区堡镇敬老院,170,1984-06-08,上海市大通路555号,59417633,202157,公建民营,张凤侠
52,崇明区,堡镇,上海市崇明逸达敬老院,41,2015-08-10,上海市桃源村568号,021-59427190,202157,民建民营,宋李花
53,崇明区,堡镇,上海海科第三福利院,206,2016-11-10,上海市崇明区堡镇堡渔村890号,59410600,202157,民建民营,葛向东
54,崇明区,堡镇,上海海阳清怡养护院有限公司,400,2018-05-04,上海市堡镇中路223号,021-59395002,202157,民建民营,曹盘美
55,崇明区,陈家镇,上海崇明区陈家镇敬老院,156,1958-09-10,上海市崇明区陈家镇铁塔村6队01,59430587,202162,公建公营,汤金飞
56,崇明区,陈家镇,上海崇明太保家园养老服务有限公司,1050,2023-12-29,上海崇明区东滩大道99号（不含19号、20号楼）、颐湖路88号,66909999,,民建民营,杨颖
57,崇明区,陈家镇,上海崇明德云养老院,100,2012-02-02,上海市崇明区陈家镇新出港路1188号,59406366,202162,民建民营,董燕
58,崇明区,陈家镇,上海崇明蘭馨福利院,300,2007-04-10,上海市崇明区陈家镇锦陈路668号,59402078,202162,民建民营,黄菊兰
59,崇明区,陈家镇,上海崇明陈家镇东滩养老院,420,,上海市安寿路199号,,,,时燕
60,崇明区,城桥镇,上海崇明区城桥第二敬老院,70,2016-04-06,上海市崇明区城桥镇团城公路6380号,59691087,202150,公建公营,周妹
61,崇明区,东平镇,上海市崇明东平养老院,50,2003-06-19,上海市崇明区东平镇平悦路728号,021-59666099,202178,公建公营,龚敏
62,崇明区,港西镇,上海崇明区港西第一敬老院,130,1979-08-01,上海市盘西长生1197号,59670170,202154,公建民营,李菊花
63,崇明区,港西镇,上海崇明协兴养老院,106,2006-11-09,上海市三双公路2005号,021-59676108,202154,民建民营,蔡云娟
64,崇明区,港沿镇,上海崇明区港沿敬老院,133,1958-08-07,上海市港沿公路1101号,021-59461248,202158,公建民营,张凤侠
65,崇明区,建设镇,上海崇明区大同敬老院,171,1989-03-08,上海市蟠龙公路1278号,13701708168,202155,公建民营,杨建英
66,崇明区,建设镇,上海崇明区建设敬老院,137,1958-04-10,上海市滧东村红梅312号,59330526,202155,公建民营,张凤侠
67,崇明区,建设镇,上海崇明民福养护院,499,2017-12-11,上海市崇明区建设镇建星路88号,69601015,202155,公建民营,周忠惠
68,崇明区,绿华镇,上海崇明区绿华敬老院,75,1983-10-03,上海市崇明区绿华镇新建路894号,59351659,202151,公建民营,李菊花
69,崇明区,绿华镇,上海市崇明绿港养老公寓,60,2008-10-10,上海市崇明区绿华镇绿港村521号,59554388,202151,民建民营,武登扣
70,崇明区,绿华镇,上海爱照护瑞瀛养老服务有限公司崇明分公司,108,2021-01-07,上海市东滩大道100弄9号16-2幢,021-33800086,,民建民营,童晓春
71,崇明区,庙镇,上海崇明区合作敬老院,170,1995-12-11,上海市合作公路1318号,021-59382287,202153,民建民营,徐永德
72,崇明区,庙镇,上海崇明庙镇敬老院,180,1959-12-03,上海市崇明区庙镇民华村624号,69361642,202153,公建公营,张卫忠
73,崇明区,庙镇,上海崇明方顺养老院,140,1958-10-10,上海市庙西村西首,59362428,202153,民建民营,方士元
74,崇明区,庙镇,上海市崇明区庙镇江合养护院,102,2015-03-05,上海市猛将庙,59387029,202153,民建民营,陆善卫
75,崇明区,庙镇,上海市崇明江龙老年公寓,190,2003-10-10,上海市宏海公路88号,021-69361001,202165,民建民营,张成刚
76,崇明区,三星镇,上海崇明三星镇海桥养老院,285,,上海市崇明区海桥公路108弄1号,,,,张镭花
77,崇明区,三星镇,上海崇明区三星敬老院,179,1958-02-01,上海市协进村496号,59601521,202152,公建民营,杨华
78,崇明区,竖新镇,上海崇明区竖河敬老院,154,1985-06-01,上海市永兴村朱桥211号,59481712,202164,公建民营,顾晓喻
79,崇明区,竖新镇,上海崇明嘉龙养老院,275,2006-06-01,上海市大东村682号,021-59492207,202179,民建民营,王震民
80,崇明区,向化镇,上海崇明区向化敬老院,121,1958-06-11,上海市米新村168号,59447225,202161,公建公营,蔡敬天
81,崇明区,新村乡,上海崇明区新村敬老院,78,1984-05-01,上海市崇明区新村乡新浜村1476号,59651541,202172,公建公营,张海华
82,崇明区,新海镇,上海崇明新海怡心养老院,100,2011-05-11,上海市崇明区新海镇兴阔路189号,59655072,202172,公建公营,刘静
83,崇明区,新河镇,上海崇明区新民敬老院,148,1957-08-06,上海市强民村137号,59371210,202156,公建民营,黄慧
84,崇明区,新河镇,上海崇明区新河敬老院,232,1958-09-10,上海市石路村1158号,59681364,202156,公建民营,秦忠旋
85,崇明区,长兴乡,上海市宝山区社会福利院,200,1979-04-26,上海市崇明区长兴镇潘园公路3536号,56851473,201913,公建公营,张少逸
86,崇明区,长兴镇,上海崇明长兴第二养老院,383,2023-11-21,上海崇明区长兴镇金滂路950号,021-56850805,,公建公营,邱勤
87,崇明区,中兴镇,上海崇明区广福养老院,182,1958-05-28,上海市红星村5队,69446527,202163,公建公营,戴雷萍
88,奉贤区,奉城镇,上海奉贤区奉城镇敬老院,100,2019-08-18,上海市塘外社区人民路108号,57170103,201408,公建民营,周丽英
89,奉贤区,奉城镇,上海奉贤区鸿恩托老所,58,2005-04-07,上海市洪北村501号,57133069,201411,民建民营,康华
90,奉贤区,海湾镇,上海奉贤区海湾镇敬老院,182,2016-09-01,上海市奉贤区海湾镇五四公路1558弄,021-37598090,201422,公建公营,姚俊
91,奉贤区,金海街道,上海奉贤区金海悦心颐养院,310,2021-07-23,上海市俊园路50号,021-67180277,,公建民营,王青
92,奉贤区,金汇镇,上海奉贤区泰日光星养老院,96,2004-04-26,上海市泰日社区光星路551号,18916132555,201405,民建民营,白勇
93,奉贤区,金汇镇,上海奉贤区逸仙颐养院,768,2018-08-16,上海市望河路89号,57575596,201404,公建民营,冯强
94,奉贤区,金汇镇,上海奉贤区金汇养老院,130,2012-10-02,上海市金钱公路718号,13817269966,201404,民建民营,黄全东
95,奉贤区,金汇镇,上海奉贤区金汇镇敬老院,431,2020-05-25,上海市金钱公路868号,021-37566058,201404,公建民营,方琼
96,奉贤区,金汇镇,上海奉贤区金汇镇泰日敬老院,110,1958-01-01,上海市泰青路501号,57586135,201405,公建公营,褚德忠
97,奉贤区,南桥镇,上海奉贤区光明社区颐养院,250,2021-04-13,上海市光明社区优化路72号,33112678,201406,公建民营,李茜
98,奉贤区,南桥镇,上海奉贤区南桥镇光明村养老院,150,2006-04-28,上海市光钱公路500弄195号,021-57473052,201406,公建民营,李茜
99,奉贤区,南桥镇,上海奉贤区南桥镇江海敬老院,252,1997-07-01,上海市奉贤区南桥镇江南路469号,57188525,201400,公建民营,陆英
100,奉贤区,南桥镇,上海奉贤区明馨艺术养老院,300,2009-12-30,上海市金海公路2488号,021-61909190,201406,民建民营,徐林芳
101,奉贤区,南桥镇,上海奉贤区益人养老院,149,2003-08-21,上海市优化路58弄8-18号,021-57470800,201400,民建民营,施明
102,奉贤区,青村镇,上海奉贤区兰公馆养老院,401,2010-02-02,上海市南奉公路4999号,33616880,201414,民建民营,张莉颖
103,奉贤区,青村镇,上海奉贤区金苹果养老院,160,2013-05-01,上海市奉贤区青村镇南奉公路4146号,31115700,201414,民建民营,吴红镁
104,奉贤区,四团镇,上海奉贤区四团镇敬老院,232,1985-05-06,上海市北街100号,57533540,201412,公建公营,瞿建军
105,奉贤区,头桥街道,上海奉贤区奉城镇头桥敬老院,50,1984-09-01,上海市新奉公路4942号,57551026,201409,公建公营,周丽英
106,奉贤区,头桥街道,上海市奉贤区维丰颐养院,161,2013-12-02,上海市奉贤区头桥街道头桥幸福村一支路58号,57558800,201409,民建民营,瞿维兵
107,奉贤区,西渡街道,上海奉贤区五宅青春里颐养院,150,2021-06-08,上海市五宅村107号,021-67150800,,公建民营,金硕贇
108,奉贤区,西渡街道,上海奉贤区永生养老院,100,2001-01-01,上海市奉金路766号,15300797082,201401,民建民营,杨英
109,奉贤区,西渡街道,上海市奉贤区南桥镇关港养老院,208,2006-12-22,上海市关港村399号,57489186,201404,民建民营,何洪昌
110,奉贤区,柘林镇,上海奉贤区柘林镇福利院,385,2002-02-02,上海市永革村北横路638号,57459155,201417,公建民营,陶芸
111,奉贤区,庄行镇,上海奉贤区乐慧养老院,357,2004-04-01,上海市邬桥社区安邬路188号,57404312,201402,民建民营,顾国明
112,奉贤区,庄行镇,上海奉贤区伊甸敬老院,86,2004-01-08,上海奉贤区庄行镇庄北路301号,57468268,201415,民建民营,相丽雄
113,奉贤区,庄行镇,上海奉贤区庄行镇邬桥敬老院,118,2008-01-14,上海市渔沥村耀光1433号,57403090,201402,公建公营,蒋新村
114,奉贤区,庄行镇,上海奉贤区长远养老院,140,2010-12-23,上海市邬桥社区安东路58号,57403219,201402,民建民营,俞长仙
115,奉贤区,庄行镇,上海新华老年公寓,200,2015-06-01,上海市南亭公路4388号,021-57467029,201415,民建民营,蒋佳学
116,虹口区,广中路街道,上海虹口区红日家园老年公寓,200,2018-09-14,上海市红日家园老年公寓,56408900,200083,民建民营,陈琦
117,虹口区,广中路街道,上海虹口区银龄知音养老院,212,2014-04-28,上海市北宝兴路611号,021-56612586,200083,民建民营,吴军
118,虹口区,广中路街道,上海虹口长寿家园南苑养护院,117,2021-10-21,上海市水电路54号,18221938297,,民建民营,边一行
119,虹口区,广中路街道,上海长护虹康养老服务有限公司,0,,上海市虹口区东江湾路 151、157、167 号，第 A 幢 4-5层，（编号：425室）,,,,李敬嘉
120,虹口区,嘉兴路街道,上海市虹口区嘉兴路街道天宝养老院,440,2017-02-24,上海市天宝路881号,021-55883922,200086,公建民营,陆珺
121,虹口区,江湾镇,上海市虹口区为民敬老院,107,2017-12-22,上海市虹口区江湾镇三门路759弄弄49号,65166335,200434,民建民营,杨金妹
122,虹口区,江湾镇,上海市虹口博慈河滨敬老院,100,2011-02-28,上海市新市南路1104号,65360690,200434,民建民营,应向荣
123,虹口区,江湾镇,上海市虹口江湾镇敬老院,120,2004-05-14,上海市场中路769号,66820187,200434,民建民营,陈凌空
124,虹口区,江湾镇,上海海江瑞祥养护院,75,2016-08-17,上海市虹口区江湾镇保宁路44号,15656666288,200434,民建民营,林瑞棋
125,虹口区,江湾镇,上海虹口区吉阳红敬老院,204,2009-04-14,上海市虹口区江湾镇街道纪念路335弄10号,021-65170621,200434,民建民营,陈昀
126,虹口区,江湾镇,上海虹口区广中路街道敬老院,77,2016-10-20,上海市新市南路488弄15号,021-55780993,200434,公建民营,田梦然
127,虹口区,江湾镇,上海虹口区银康老年公寓,462,2012-09-05,上海市凉城路2283号,021-66980567,200434,民建民营,汪晓鸣
128,虹口区,江湾镇街道,上海虹口区广济养老院,150,2003-05-23,上海市虹口区纪念路500号,65619720,200434,民建民营,林力
129,虹口区,凉城新村街道,上海市虹口区奎照老年福利院,148,2017-04-25,上海市虹口区凉城新村街道奎照840,021-65012760,200434,公建民营,徐诚
130,虹口区,凉城新村街道,上海市虹口区彩虹湾老年福利院,860,2019-02-03,上海市2196号,31106997,200434,公建民营,徐诚
131,虹口区,凉城新村街道,上海虹口区凉城新村街道敬老院,50,1994-07-01,上海市虹口区凉城新村街道凉城路547号,65298467,200434,公建民营,华小兰
132,虹口区,凉城新村街道,上海虹口区申虹敬老院,91,2017-12-22,上海市虹口区凉城新村街道凉城路854号,021-65286173,200434,民建民营,魏天星
133,虹口区,凉城新村街道,上海逸仙虹福养老服务有限公司,165,,上海市虹口区广灵四路268号底层-1室、2-6层,,,,冯强
134,虹口区,欧阳路街道,上海市虹口欧阳路街道祥德敬老院,100,2014-12-23,上海市虹口区欧阳路街道祥德路302号,65556350,200081,民建民营,苗成
135,虹口区,欧阳路街道,上海虹口区祥云敬老院,140,2018-11-09,上海市四达路,65086722,200081,民建民营,苗成
136,虹口区,欧阳路街道,上海虹口区长寿和庭养护院,159,2017-10-10,上海市山阴路277号,65871377,200081,民建民营,边一行
137,虹口区,欧阳路街道,上海虹口弘云养护院,60,2023-12-01,上海市虹口区欧阳路街道密云路290号,18916098874,200081,民建民营,林经江
138,虹口区,曲阳路街道,上海天成养老院,205,2015-01-18,上海市赤峰路404弄31号,55886216,200083,民建民营,刘红菊
139,虹口区,曲阳路街道,上海市虹口区社会福利院,200,1987-12-01,上海市密云路623号,65546977,200437,公建公营,周勇
140,虹口区,曲阳路街道,上海虹口区兰公馆养老院,837,2018-11-16,上海市中山北山一路903号,60323211,200011,民建民营,张莉颖
141,虹口区,曲阳路街道,上海虹口区建阳养老院,180,2009-08-01,上海市虹口区曲阳路街道中山北二路2199号,65368457,200434,民建民营,徐文停
142,虹口区,曲阳路街道,上海虹口区瑞信养老院,134,2012-10-09,上海市鸿雁居委会上海市虹口区赤峰路600弄18号,65608619,200083,民建民营,张正国
143,虹口区,四川北路街道,上海市虹口区四川北路街道吉祥养老院,196,2018-08-01,上海市吉祥路69号,56372223,200081,公建民营,董德胜
144,虹口区,四川北路街道,上海虹叶养老院,250,2014-09-21,上海市溧阳路1084弄28号,56719977,200081,公建民营,李英
145,虹口区,四川北路街道,上海虹德养老院,205,2015-10-14,上海市衡水路367号,021-63567922,200080,民建民营,狄德才
146,黄浦区,半淞园路街道,上海市黄浦区老年公寓,110,2015-12-03,上海市海潮路151号,63230650,200003,公建公营,季明凤
147,黄浦区,半淞园路街道,上海黄浦区全程玖玖馨逸养护院,222,2021-07-01,上海市徽宁路666号,63666799,,公建民营,封吟颖
148,黄浦区,半淞园路街道,上海黄浦区半凇园兰公馆老年公寓,100,2015-07-20,上海市中山南路1418号12楼,63309715,200010,民建民营,张莉颖
149,黄浦区,半淞园路街道,上海黄浦区华康恒裕养护院,392,2022-08-01,上海市普育西路103号,021-63307993,,公建民营,王新江
150,黄浦区,半淞园路街道,上海黄浦区春升老年公寓,52,2009-12-31,上海市黄浦区半淞园路街道南车站555,13917898625,200011,民建民营,何季生
151,黄浦区,打浦桥街道,上海益福荟养老服务有限公司,69,2023-10-12,上海市黄浦区打浦桥街道顺昌路612弄16号3层301室,021-63856606,,民建民营,王慧
152,黄浦区,淮海中路街道,上海黄浦区慧享福福荟颐养院,113,2023-11-20,上海市黄浦区淡水路325号1-5层,021-53520151,,民建民营,陈艳
153,黄浦区,老西门街道,上海快乐之家养护院,96,2016-04-28,上海市黄家路195号,63732770,200010,民建民营,王海水
154,黄浦区,老西门街道,上海龙祥养老院,28,2008-10-01,上海市大吉路44弄14支弄6号,021-63451099,200011,民建民营,朱龙兴
155,黄浦区,南京东路街道,上海黄浦区爱以德养老院,412,2020-06-16,上海市广东路495、525号,63335890,200001,民建民营,李珺
156,黄浦区,五里桥街道,上海百家乐养老院,258,2015-01-20,上海市鲁班路499号,63340268,200010,民建民营,韩菊娣
157,黄浦区,五里桥街道,上海银色港湾福利院,275,2000-12-01,上海市瞿溪路700号,63044218,200023,民建民营,郦福祥
158,黄浦区,五里桥街道,上海黄浦区中三敬老院,52,1998-10-26,上海市瞿溪路1252弄1号乙幢,63030584,200023,民建民营,郑芳群
159,黄浦区,五里桥街道,上海黄浦区五里桥街道萌志敬老院,136,2019-11-18,上海市蒙自路654号,13370016427,200020,公建民营,秦秋燕
160,黄浦区,五里桥街道,上海黄浦区五里桥街道顾卞裘莉敬老院,70,2018-02-07,上海市瞿溪路1111弄26号,63317009,200023,公建民营,秦秋燕
